RAA20111202201112015020060770000サラ系２歳　一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳　一組　　サラ系２歳　サラ系0000  110004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00006000000012000000060000000360000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111120100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,10,9,6,1,8,2,7,3,5,4                                               2012,10,9,1,6,(2,8),7,3,5,4                                             3012,10,2,6,9,1,7,8,3,5,4                                               4012,10,2,6,1,9,(7,8),3,5,4                                             0
RAA20111208201112075021020760000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,2,11,10,8,12,9,7,6,5,4                                            201,3,2,11,8,10,12,9,7,6,5,4                                            301,(3,11),2,8,10,12,6,(7,9),5,4                                        401,11,3,2,8,10,12,9,7,6,4,5                                            0
RAA20111208201112075021021060000サラ系３歳上　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サラ系３歳上　Ｂ２　サラ系３歳上サラ系0000E 130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001000000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001210101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,12,(8,10),4,6,1,7,3,5                                               209,12,8,10,4,6,1,7,3,5                                                 308,9,12,6,10,(3,4),1,5,7                                               408,9,6,12,3,1,(5,10),4,7                                               0
RAA20111208201112075021021260000サラ系３歳上　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ１　サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003000000005400000027000000150000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,3,10,2,7,6,9,1,8,4,12,5                                            2011,3,2,10,(6,7),9,1,(4,8),5,12                                        3011,10,8,(2,3),6,9,1,4,7,5,12                                          4011,8,10,2,1,3,6,4,9,(5,7),12                                          0
RAA20111209201112085021030770000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002500000004500000022500000125000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121230300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,7,1,8,10,5,6,3,2,12,9,4                                            207,11,1,8,10,5,6,2,3,9,12,4                                            3010,1,5,7,6,8,11,3,2,9,12,4                                            4010,1,5,6,7,8,2,3,11,9,12,4                                            0
RAA20111214201112135021040350000サラ系３歳上　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２三サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,12,6,1,9,5,11,8,10,3,7,2                                            204,12,6,(1,9),5,8,11,10,3,7,2                                          3012,4,9,1,5,8,11,6,10,7,3,2                                            4012,9,4,(1,5),8,10,11,7,6,3,2                                          0
RAA20111214201112135021040550000セカンドトライ（中央認定）　二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            セカンドトライ（中央セカンドトラセカン0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002000000010000000060000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,10,12,4,11,5,9,3,2,6,1                                            20(7,8),4,(10,12),11,5,9,3,2,6,1                                        30(5,8),7,12,11,4,10,3,6,9,2,1                                          408,5,4,11,12,(3,7),10,6,9,2,1                                          0
RAA20111214201112135021040750000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,2,6,12,4,9,10,8,11,7,1                                            203,5,2,6,4,12,9,8,10,7,11,1                                            30(3,6),5,8,2,4,12,9,10,7,11,1                                          408,6,3,5,2,4,9,12,7,1,11,10                                            0
RAA20111215201112145021050760000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000450000002250000012500000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,1,9,10,4,3,11,6,12,8,2                                            205,7,9,1,10,4,(3,11),6,(8,12),2                                        305,9,7,10,11,4,1,3,6,12,8,2                                            405,9,10,11,3,6,7,4,12,1,8,2                                            0
RAA20111216201112155021060570000サラ系３歳上　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系３歳上　Ｃ２一サラ系３歳上サラ系0000  130004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002500000004500000022500000125000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,11,9,(1,10),4,3,2,5,6,8,7                                          2012,11,9,(4,10),1,3,2,5,6,7,8                                          30(11,12),4,1,10,3,9,6,2,(5,7),8                                        40(11,12),4,1,3,10,6,9,7,2,8,5                                          0
