順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,クロフネ, 14- 10-  8- 75/107,13.1%,22.4%,29.9%,71,74,110.4,6.6着,6.9人気,58.9,550,249,0,0.0%,9.3%,7.5%,114.69,12.74,56.50
2,キングカメハメハ, 14-  7-  7- 69/ 97,14.4%,21.6%,28.9%,190,105,129.1,6.7着,6.5人気,41.9,1319,366,0,0.0%,7.2%,7.2%,113.65,12.63,57.02
3,サンデーサイレンス, 11-  7-  2- 35/ 55,20.0%,32.7%,36.4%,162,73,101.7,5.9着,4.4人気,13.5,812,201,0,0.0%,12.7%,3.6%,114.19,12.69,56.75
4,ブライアンズタイム,  9- 14-  7- 58/ 88,10.2%,26.1%,34.1%,101,121,92.0,6.5着,6.9人気,58.1,989,355,0,0.0%,15.9%,8.0%,114.12,12.68,56.78
5,ゴールドアリュール,  7-  7-  4- 51/ 69,10.1%,20.3%,26.1%,80,67,89.5,7.2着,6.5人気,49.4,791,261,0,0.0%,10.1%,5.8%,114.69,12.74,56.50
6,アフリート,  7-  2-  1- 30/ 40,17.5%,22.5%,25.0%,134,54,108.8,7.2着,6.1人気,42.6,769,216,0,0.0%,5.0%,2.5%,114.54,12.73,56.57
7,シンボリクリスエス,  6-  7-  8- 72/ 93,6.5%,14.0%,22.6%,52,84,66.0,7.3着,7.2人気,58.6,807,375,0,0.0%,7.5%,8.6%,114.51,12.72,56.59
8,ゼンノロブロイ,  6-  4-  5- 30/ 45,13.3%,22.2%,33.3%,110,138,118.4,7.2着,6.6人気,50.8,832,416,0,0.0%,8.9%,11.1%,115.06,12.78,56.32
9,ダンスインザダーク,  5-  6-  5- 39/ 55,9.1%,20.0%,29.1%,37,49,95.7,7.5着,7.3人気,60.3,416,171,0,0.0%,10.9%,9.1%,115.26,12.81,56.22
10,フジキセキ,  5-  5-  3- 52/ 65,7.7%,15.4%,20.0%,23,44,67.5,7.2着,6.6人気,46.2,310,224,0,0.0%,7.7%,4.6%,114.96,12.77,56.37
11,マルゼンスキー,  5-  3-  3- 13/ 24,20.8%,33.3%,45.8%,182,110,124.3,5.3着,4.6人気,11.9,878,241,0,0.0%,12.5%,12.5%,114.39,12.71,56.65
12,ラシアンルーブル,  5-  2-  0- 22/ 29,17.2%,24.1%,24.1%,283,65,204.5,6.1着,7.5人気,39.9,1644,271,0,0.0%,6.9%,0.0%,115.36,12.82,56.17
13,ハーツクライ,  4-  9-  5- 32/ 50,8.0%,26.0%,36.0%,364,125,86.9,6.4着,6.9人気,47.5,4558,348,0,0.0%,18.0%,10.0%,114.45,12.72,56.62
14,アグネスタキオン,  4-  3-  5- 28/ 40,10.0%,17.5%,30.0%,189,102,70.8,7.4着,6.3人気,40.5,1895,342,0,0.0%,7.5%,12.5%,114.26,12.70,56.71
15,エンパイアメーカー,  4-  3-  3- 24/ 34,11.8%,20.6%,29.4%,56,55,114.5,7.6着,7.2人気,63.8,482,187,0,0.0%,8.8%,8.8%,115.67,12.85,56.02
16,コマンダーインチーフ,  4-  3-  1- 26/ 34,11.8%,20.6%,23.5%,40,43,94.0,6.8着,6.7人気,58.2,348,186,0,0.0%,8.8%,2.9%,114.65,12.74,56.52
17,サツカーボーイ,  4-  2-  2- 17/ 25,16.0%,24.0%,32.0%,186,76,121.2,5.6着,6.3人気,49.3,1162,238,0,0.0%,8.0%,8.0%,114.67,12.74,56.51
18,アジュディケーティング,  4-  2-  2- 17/ 25,16.0%,24.0%,32.0%,70,66,154.0,6.3着,6.3人気,36.2,442,209,0,0.0%,8.0%,8.0%,114.36,12.71,56.66
19,ヤマニンスキー,  4-  1-  2- 17/ 24,16.7%,20.8%,29.2%,79,54,109.1,6.4着,6.1人気,19.5,478,187,0,0.0%,4.2%,8.3%,114.85,12.76,56.42
20,キンググローリアス,  4-  0-  5- 21/ 30,13.3%,13.3%,30.0%,46,63,123.3,6.6着,6.7人気,30.7,345,212,0,0.0%,0.0%,16.7%,115.01,12.78,56.34
21,タニノギムレット,  4-  0-  3- 30/ 37,10.8%,10.8%,18.9%,34,92,111.3,8.0着,7.9人気,71.4,320,491,0,0.0%,0.0%,8.1%,114.64,12.74,56.53
22,コインドシルバー,  4-  0-  2- 13/ 19,21.1%,21.1%,31.6%,114,70,172.8,5.3着,5.4人気,32.2,542,222,0,0.0%,0.0%,10.5%,114.29,12.70,56.70
23,トウシヨウボーイ,  4-  0-  1- 12/ 17,23.5%,23.5%,29.4%,147,54,133.6,7.2着,6.2人気,27.0,625,184,0,0.0%,0.0%,5.9%,116.87,12.99,55.45
24,イルドブルボン,  3-  5-  0-  8/ 16,18.8%,50.0%,50.0%,83,106,112.4,4.9着,4.9人気,14.2,447,214,0,0.0%,31.3%,0.0%,115.07,12.79,56.31
25,ロージズインメイ,  3-  3-  3- 31/ 40,7.5%,15.0%,22.5%,84,130,77.3,6.8着,7.9人気,58.2,1123,578,0,0.0%,7.5%,7.5%,114.05,12.67,56.82
26,スキャン,  3-  3-  2- 17/ 25,12.0%,24.0%,32.0%,58,132,113.0,6.8着,7.9人気,89.7,487,414,0,0.0%,12.0%,8.0%,115.58,12.84,56.07
27,リアルシヤダイ,  3-  1-  3- 23/ 30,10.0%,13.3%,23.3%,35,47,92.3,7.1着,7.1人気,50.6,350,238,0,0.0%,3.3%,10.0%,115.07,12.79,56.32
28,タイテエム,  3-  1-  1- 14/ 19,15.8%,21.1%,26.3%,151,66,222.2,5.5着,6.8人気,32.4,960,254,0,0.0%,5.3%,5.3%,115.49,12.83,56.11
29,メジロマックイーン,  3-  1-  1-  8/ 13,23.1%,30.8%,38.5%,69,87,204.9,5.9着,6.5人気,50.9,300,228,0,0.0%,7.7%,7.7%,115.03,12.78,56.33
30,ジェイドロバリー,  3-  1-  1- 23/ 28,10.7%,14.3%,17.9%,87,37,98.8,6.8着,7.4人気,69.7,820,208,0,0.0%,3.6%,3.6%,114.29,12.70,56.70
31,ゴールデンフェザント,  3-  0-  2-  7/ 12,25.0%,25.0%,41.7%,200,79,242.6,5.5着,5.6人気,32.6,800,190,0,0.0%,0.0%,16.7%,114.14,12.68,56.77
32,タヤスツヨシ,  3-  0-  1-  8/ 12,25.0%,25.0%,33.3%,298,83,274.9,6.7着,8.4人気,66.5,1193,250,0,0.0%,0.0%,8.3%,114.33,12.70,56.68
33,ルーラーシップ,  3-  0-  1-  7/ 11,27.3%,27.3%,36.4%,235,87,276.0,5.9着,6.1人気,36.5,863,240,0,0.0%,0.0%,9.1%,114.67,12.74,56.51
34,ハギノカムイオー,  3-  0-  0- 11/ 14,21.4%,21.4%,21.4%,183,60,247.7,7.0着,5.8人気,22.3,857,283,0,0.0%,0.0%,0.0%,115.17,12.80,56.26
35,ホスピタリテイ,  3-  0-  0-  8/ 11,27.3%,27.3%,27.3%,176,50,263.7,5.8着,6.9人気,47.7,647,187,0,0.0%,0.0%,0.0%,114.78,12.75,56.45
36,シニスターミニスター,  3-  0-  0-  6/  9,33.3%,33.3%,33.3%,273,87,369.1,6.0着,5.9人気,38.7,820,263,0,0.0%,0.0%,0.0%,112.90,12.54,57.40
37,サウスアトランテイツク,  3-  0-  0-  4/  7,42.9%,42.9%,42.9%,544,88,170.9,5.6着,4.6人気,21.3,1270,207,0,0.0%,0.0%,0.0%,115.74,12.86,55.99
38,タイムパラドックス,  3-  0-  0-  4/  7,42.9%,42.9%,42.9%,100,55,160.4,5.1着,5.1人気,40.9,233,130,0,0.0%,0.0%,0.0%,113.20,12.58,57.24
39,アグネスデジタル,  2-  6-  3- 21/ 32,6.3%,25.0%,34.4%,15,85,46.1,7.3着,6.3人気,57.5,240,247,0,0.0%,18.8%,9.4%,114.08,12.68,56.80
40,ノーザンテースト,  2-  5-  2- 20/ 29,6.9%,24.1%,31.0%,72,61,47.5,5.8着,5.6人気,18.2,1055,198,0,0.0%,17.2%,6.9%,114.39,12.71,56.65
41,ディープインパクト,  2-  4-  6- 22/ 34,5.9%,17.6%,35.3%,16,90,44.2,6.6着,5.4人気,22.3,275,255,0,0.0%,11.8%,17.6%,114.27,12.70,56.71
42,ブレイヴエストローマン,  2-  4-  2- 22/ 30,6.7%,20.0%,26.7%,70,58,52.7,5.9着,6.5人気,28.6,1060,251,0,0.0%,13.3%,6.7%,114.82,12.76,56.43
43,サクラユタカオー,  2-  3-  5- 11/ 21,9.5%,23.8%,47.6%,57,119,71.6,6.2着,5.9人気,35.8,605,251,0,0.0%,14.3%,23.8%,115.91,12.88,55.91
44,ホワイトマズル,  2-  3-  4- 26/ 35,5.7%,14.3%,25.7%,32,42,63.8,7.8着,7.3人気,61.3,560,164,0,0.0%,8.6%,11.4%,115.11,12.79,56.29
45,スペシャルウィーク,  2-  3-  3- 31/ 39,5.1%,12.8%,20.5%,185,68,76.7,8.4着,8.0人気,60.0,3620,335,0,0.0%,7.7%,7.7%,114.93,12.77,56.38
46,バブルガムフェロー,  2-  3-  2- 13/ 20,10.0%,25.0%,35.0%,124,191,130.1,6.9着,7.8人気,82.3,1245,546,0,0.0%,15.0%,10.0%,115.47,12.83,56.12
47,プリサイスエンド,  2-  3-  2- 26/ 33,6.1%,15.2%,21.2%,34,73,90.6,8.4着,8.3人気,102.9,570,346,0,0.0%,9.1%,6.1%,115.46,12.83,56.12
48,モガンボ,  2-  3-  1- 10/ 16,12.5%,31.3%,37.5%,55,166,70.9,5.4着,5.3人気,37.2,445,445,0,0.0%,18.8%,6.3%,113.73,12.64,56.98
49,オペラハウス,  2-  2-  7- 22/ 33,6.1%,12.1%,33.3%,104,81,76.5,7.1着,7.5人気,78.1,1720,244,0,0.0%,6.1%,21.2%,116.01,12.89,55.86
50,ミルジヨージ,  2-  2-  4- 23/ 31,6.5%,12.9%,25.8%,34,57,53.1,5.8着,6.0人気,28.0,530,221,0,0.0%,6.5%,12.9%,114.94,12.77,56.38
51,ウォーエンブレム,  2-  2-  3-  9/ 16,12.5%,25.0%,43.8%,87,77,73.0,6.4着,4.3人気,11.1,700,177,0,0.0%,12.5%,18.8%,113.48,12.61,57.11
52,ナグルスキー,  2-  2-  2- 11/ 17,11.8%,23.5%,35.3%,34,66,84.6,5.6着,6.2人気,51.9,290,188,0,0.0%,11.8%,11.8%,115.76,12.86,55.98
53,アンバーシヤダイ,  2-  2-  2- 16/ 22,9.1%,18.2%,27.3%,24,44,59.6,6.5着,6.5人気,61.5,270,162,0,0.0%,9.1%,9.1%,115.19,12.80,56.25
54,ティンバーカントリー,  2-  2-  2- 14/ 20,10.0%,20.0%,30.0%,66,104,137.4,7.0着,7.8人気,71.3,660,348,0,0.0%,10.0%,10.0%,114.78,12.75,56.46
55,タマモクロス,  2-  2-  2- 19/ 25,8.0%,16.0%,24.0%,19,43,66.7,7.1着,6.0人気,39.2,240,180,0,0.0%,8.0%,8.0%,115.16,12.80,56.27
56,リイフオー,  2-  2-  0-  5/  9,22.2%,44.4%,44.4%,56,90,93.4,4.1着,4.1人気,9.1,255,202,0,0.0%,22.2%,0.0%,113.29,12.59,57.20
57,マンハッタンカフェ,  2-  1-  5- 46/ 54,3.7%,5.6%,14.8%,5,50,44.8,9.3着,8.6人気,71.0,155,344,0,0.0%,1.9%,9.3%,115.25,12.81,56.23
58,ノーザンデイクテイター,  2-  1-  2- 26/ 31,6.5%,9.7%,16.1%,34,33,68.4,7.6着,6.4人気,41.2,535,208,0,0.0%,3.2%,6.5%,114.88,12.76,56.40
59,ミスターシービー,  2-  1-  2-  9/ 14,14.3%,21.4%,35.7%,154,92,146.4,5.5着,6.3人気,50.8,1080,258,0,0.0%,7.1%,14.3%,115.00,12.78,56.35
60,Woodman,  2-  1-  2-  4/  9,22.2%,33.3%,55.6%,134,130,178.8,5.4着,5.9人気,41.8,605,234,0,0.0%,11.1%,22.2%,115.09,12.79,56.30
61,ジャングルポケット,  2-  1-  1- 34/ 38,5.3%,7.9%,10.5%,45,31,64.1,8.7着,8.5人気,93.6,860,295,0,0.0%,2.6%,2.6%,115.52,12.84,56.09
62,ノーザリー,  2-  1-  1- 12/ 16,12.5%,18.8%,25.0%,17,43,70.7,7.4着,5.4人気,21.9,140,175,0,0.0%,6.3%,6.3%,114.79,12.75,56.45
63,ヤマニン,  2-  1-  1-  9/ 13,15.4%,23.1%,30.8%,108,46,122.1,5.5着,4.9人気,26.6,705,203,0,0.0%,7.7%,7.7%,115.16,12.80,56.27
64,サンダーガルチ,  2-  1-  1-  4/  8,25.0%,37.5%,50.0%,1463,465,168.3,4.1着,5.8人気,42.6,5855,930,0,0.0%,12.5%,12.5%,112.89,12.54,57.40
65,メイショウサムソン,  2-  1-  1- 15/ 19,10.5%,15.8%,21.1%,203,125,330.0,9.0着,9.3人気,112.5,1935,595,0,0.0%,5.3%,5.3%,115.33,12.81,56.19
66,ダイワメジャー,  2-  1-  0- 20/ 23,8.7%,13.0%,13.0%,18,19,75.0,10.1着,7.4人気,58.7,215,147,0,0.0%,4.3%,0.0%,114.70,12.74,56.49
67,キングヘイロー,  2-  1-  0- 22/ 25,8.0%,12.0%,12.0%,22,17,81.2,8.1着,7.0人気,65.4,285,147,0,0.0%,4.0%,0.0%,115.10,12.79,56.30
68,ケイムホーム,  2-  1-  0- 11/ 14,14.3%,21.4%,21.4%,1085,265,586.7,8.5着,10.2人気,124.1,7600,1237,0,0.0%,7.1%,0.0%,114.80,12.76,56.45
69,ストーミングホーム,  2-  1-  0- 10/ 13,15.4%,23.1%,23.1%,47,28,114.0,6.8着,6.7人気,51.8,310,123,0,0.0%,7.7%,0.0%,114.10,12.68,56.79
70,ニチドウアラシ,  2-  0-  4-  9/ 15,13.3%,13.3%,40.0%,80,101,156.8,6.0着,7.4人気,29.9,600,253,0,0.0%,0.0%,26.7%,114.26,12.70,56.71
71,マヤノトップガン,  2-  0-  3- 29/ 34,5.9%,5.9%,14.7%,27,41,63.6,7.8着,7.7人気,71.3,470,284,0,0.0%,0.0%,8.8%,114.53,12.73,56.58
72,サーペンフロ,  2-  0-  2- 12/ 16,12.5%,12.5%,25.0%,42,44,109.5,6.2着,7.1人気,24.0,340,178,0,0.0%,0.0%,12.5%,114.68,12.74,56.50
73,デュランダル,  2-  0-  2-  7/ 11,18.2%,18.2%,36.4%,274,112,233.1,7.1着,8.2人気,61.0,1510,310,0,0.0%,0.0%,18.2%,113.78,12.64,56.95
74,プリンスオブバーズ,  2-  0-  1-  5/  8,25.0%,25.0%,37.5%,136,55,151.5,6.0着,5.4人気,81.2,545,147,0,0.0%,0.0%,12.5%,115.90,12.88,55.91
75,プルラリズム,  2-  0-  1-  5/  8,25.0%,25.0%,37.5%,122,73,220.1,6.1着,5.5人気,21.4,490,197,0,0.0%,0.0%,12.5%,114.80,12.76,56.45
76,ストラダビンスキー,  2-  0-  1-  4/  7,28.6%,28.6%,42.9%,851,228,734.0,6.6着,9.0人気,36.0,2980,533,0,0.0%,0.0%,14.3%,114.28,12.70,56.70
77,ダイナコスモス,  2-  0-  1-  3/  6,33.3%,33.3%,50.0%,51,73,109.5,4.7着,3.7人気,11.5,155,147,0,0.0%,0.0%,16.7%,114.05,12.67,56.82
78,"Sadler's Wells",  2-  0-  1-  0/  3,66.7%,66.7%,100.0%,426,170,257.9,1.7着,2.3人気,5.1,640,170,0,0.0%,0.0%,33.3%,111.90,12.43,57.91
79,サウスヴィグラス,  2-  0-  0-  8/ 10,20.0%,20.0%,20.0%,54,24,185.1,8.1着,7.7人気,73.8,270,120,0,0.0%,0.0%,0.0%,113.26,12.58,57.21
80,Kingmambo,  2-  0-  0-  5/  7,28.6%,28.6%,28.6%,190,60,207.1,6.6着,5.9人気,31.7,665,210,0,0.0%,0.0%,0.0%,114.70,12.74,56.50
81,テイエムオペラオー,  2-  0-  0- 11/ 13,15.4%,15.4%,15.4%,249,56,425.9,6.5着,8.9人気,70.6,1620,365,0,0.0%,0.0%,0.0%,116.38,12.93,55.68
82,スイフトスワロー,  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,417,102,277.3,3.5着,3.8人気,15.5,835,205,0,0.0%,0.0%,0.0%,116.55,12.95,55.60
83,"Deputy Minister",  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,227,80,198.5,4.5着,3.0人気,5.4,455,160,0,0.0%,0.0%,0.0%,113.20,12.58,57.24
84,エリモタイヨー,  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,672,130,438.4,4.0着,5.5人気,13.3,1345,260,0,0.0%,0.0%,0.0%,113.67,12.63,57.01
85,ターゴワイス,  2-  0-  0- 10/ 12,16.7%,16.7%,16.7%,147,31,213.5,7.7着,6.8人気,38.2,885,190,0,0.0%,0.0%,0.0%,115.91,12.88,55.91
86,オジジアン,  2-  0-  0-  4/  6,33.3%,33.3%,33.3%,1151,105,675.7,8.7着,10.7人気,141.8,3455,315,0,0.0%,0.0%,0.0%,116.37,12.93,55.69
87,ストリートセンス,  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,567,162,532.1,5.3着,7.5人気,52.0,1135,325,0,0.0%,0.0%,0.0%,112.58,12.51,57.56
88,エスポワールシチー,  2-  0-  0-  2/  4,50.0%,50.0%,50.0%,585,147,654.1,6.0着,9.5人気,108.7,1170,295,0,0.0%,0.0%,0.0%,116.40,12.93,55.67
89,ネオユニヴァース,  1-  4-  3- 48/ 56,1.8%,8.9%,14.3%,3,28,19.7,7.8着,7.7人気,62.4,190,202,0,0.0%,7.1%,5.4%,114.36,12.71,56.66
90,スズカマンボ,  1-  3-  3- 17/ 24,4.2%,16.7%,29.2%,7,80,45.3,7.8着,7.9人気,82.4,170,274,0,0.0%,12.5%,12.5%,114.41,12.71,56.64
91,フレンチデピュティ,  1-  3-  2- 34/ 40,2.5%,10.0%,15.0%,5,23,20.4,8.5着,6.4人気,47.7,210,153,0,0.0%,7.5%,5.0%,114.69,12.74,56.50
92,サクラローレル,  1-  3-  2- 15/ 21,4.8%,19.0%,28.6%,17,60,52.1,7.4着,7.8人気,94.2,370,213,0,0.0%,14.3%,9.5%,115.36,12.82,56.17
93,タケシバオー,  1-  3-  1- 12/ 17,5.9%,23.5%,29.4%,153,70,78.9,5.8着,6.6人気,22.7,2610,238,0,0.0%,17.6%,5.9%,114.48,12.72,56.60
94,シルバーチャーム,  1-  3-  0- 12/ 16,6.3%,25.0%,25.0%,102,103,71.8,7.5着,9.3人気,54.8,1640,412,0,0.0%,18.8%,0.0%,115.10,12.79,56.30
95,ロイヤルトルーン,  1-  3-  0-  2/  6,16.7%,66.7%,66.7%,48,135,100.5,3.0着,3.3人気,8.1,290,202,0,0.0%,50.0%,0.0%,114.52,12.72,56.59
96,フオテイテン,  1-  2-  4-  5/ 12,8.3%,25.0%,58.3%,40,103,37.9,4.6着,3.5人気,7.9,490,177,0,0.0%,16.7%,33.3%,115.03,12.78,56.33
97,モガミ,  1-  2-  3- 25/ 31,3.2%,9.7%,19.4%,20,31,32.8,6.9着,7.0人気,32.3,630,165,0,0.0%,6.5%,9.7%,114.80,12.76,56.45
98,ホリスキー,  1-  2-  3- 17/ 23,4.3%,13.0%,26.1%,5,64,34.3,6.7着,6.7人気,52.1,120,248,0,0.0%,8.7%,13.0%,116.12,12.90,55.81
99,トニービン,  1-  2-  2- 15/ 20,5.0%,15.0%,25.0%,14,42,38.3,6.9着,5.6人気,22.5,290,168,0,0.0%,10.0%,10.0%,114.77,12.75,56.46
100,リードワンダー,  1-  2-  2-  7/ 12,8.3%,25.0%,41.7%,22,72,48.5,6.3着,5.6人気,25.0,270,174,0,0.0%,16.7%,16.7%,115.68,12.85,56.02
101,サクラトウコウ,  1-  2-  2-  5/ 10,10.0%,30.0%,50.0%,30,160,130.2,5.3着,6.6人気,36.1,300,320,0,0.0%,20.0%,20.0%,114.94,12.77,56.38
102,ロイヤルスキー,  1-  2-  1- 14/ 18,5.6%,16.7%,22.2%,21,39,53.2,6.6着,6.1人気,24.6,380,178,0,0.0%,11.1%,5.6%,114.11,12.68,56.79
103,マイネルラヴ,  1-  2-  1-  8/ 12,8.3%,25.0%,33.3%,45,115,88.3,5.6着,7.4人気,42.3,540,345,0,0.0%,16.7%,8.3%,113.75,12.64,56.96
104,ジェニュイン,  1-  2-  1-  5/  9,11.1%,33.3%,44.4%,101,474,149.5,6.2着,7.2人気,44.0,910,1068,0,0.0%,22.2%,11.1%,116.07,12.90,55.83
105,カネヒキリ,  1-  2-  0- 17/ 20,5.0%,15.0%,15.0%,16,21,49.1,7.7着,7.1人気,69.4,330,143,0,0.0%,10.0%,0.0%,114.77,12.75,56.46
106,ブラックタキシード,  1-  2-  0- 10/ 13,7.7%,23.1%,23.1%,1141,258,86.0,8.0着,7.5人気,96.1,14840,1120,0,0.0%,15.4%,0.0%,114.82,12.76,56.43
107,アレミロード,  1-  2-  0-  8/ 11,9.1%,27.3%,27.3%,77,50,110.4,6.7着,7.5人気,51.4,850,183,0,0.0%,18.2%,0.0%,115.27,12.81,56.21
108,エイシンサンディ,  1-  2-  0-  4/  7,14.3%,42.9%,42.9%,37,45,62.6,6.1着,6.6人気,94.4,260,107,0,0.0%,28.6%,0.0%,114.96,12.77,56.37
109,マジツクミラー,  1-  2-  0-  1/  4,25.0%,75.0%,75.0%,115,207,148.0,4.0着,4.5人気,22.9,460,277,0,0.0%,50.0%,0.0%,113.85,12.65,56.92
110,シンボリルドルフ,  1-  1-  3- 14/ 19,5.3%,10.5%,26.3%,6,63,47.0,6.7着,6.1人気,24.7,130,242,0,0.0%,5.3%,15.8%,114.86,12.76,56.41
111,アスワン,  1-  1-  2- 13/ 17,5.9%,11.8%,23.5%,21,61,52.2,6.1着,6.9人気,25.9,370,347,0,0.0%,5.9%,11.8%,114.69,12.74,56.50
112,キンシャサノキセキ,  1-  1-  2-  6/ 10,10.0%,20.0%,40.0%,26,81,72.7,5.8着,7.1人気,59.2,260,202,0,0.0%,10.0%,20.0%,113.78,12.64,56.95
113,デイクタス,  1-  1-  2-  4/  8,12.5%,25.0%,50.0%,86,86,74.5,4.0着,3.9人気,9.5,690,172,0,0.0%,12.5%,25.0%,114.10,12.68,56.79
114,アラナス,  1-  1-  2-  9/ 13,7.7%,15.4%,30.8%,30,57,43.4,5.5着,4.2人気,12.8,390,188,0,0.0%,7.7%,15.4%,113.90,12.66,56.89
115,ダンサーズイメージ,  1-  1-  1- 12/ 15,6.7%,13.3%,20.0%,11,30,54.0,7.9着,6.9人気,27.5,170,150,0,0.0%,6.7%,6.7%,115.30,12.81,56.20
116,サンシー,  1-  1-  1- 11/ 14,7.1%,14.3%,21.4%,69,125,56.8,6.0着,6.5人気,26.9,970,583,0,0.0%,7.1%,7.1%,114.83,12.76,56.43
117,フアバージ,  1-  1-  1-  6/  9,11.1%,22.2%,33.3%,14,48,56.5,6.1着,5.8人気,20.1,130,147,0,0.0%,11.1%,11.1%,115.06,12.78,56.32
118,ストラヴィンスキー,  1-  1-  1-  5/  8,12.5%,25.0%,37.5%,41,70,82.2,7.4着,6.5人気,62.2,330,187,0,0.0%,12.5%,12.5%,116.33,12.93,55.71
119,リズム,  1-  1-  1-  6/  9,11.1%,22.2%,33.3%,64,176,116.2,5.6着,6.7人気,35.2,580,530,0,0.0%,11.1%,11.1%,115.38,12.82,56.16
120,ナスルエルアラブ,  1-  1-  1-  4/  7,14.3%,28.6%,42.9%,21,95,93.0,6.4着,6.7人気,46.9,150,223,0,0.0%,14.3%,14.3%,115.81,12.87,55.95
121,ヨシノスキー,  1-  1-  1-  1/  4,25.0%,50.0%,75.0%,407,207,214.5,4.5着,7.3人気,21.7,1630,277,0,0.0%,25.0%,25.0%,115.20,12.80,56.25
122,ワイルドラッシュ,  1-  1-  0- 27/ 29,3.4%,6.9%,6.9%,42,14,42.9,8.8着,7.1人気,38.4,1220,210,0,0.0%,3.4%,0.0%,114.99,12.78,56.35
123,ジユニアス,  1-  1-  0-  6/  8,12.5%,25.0%,25.0%,18,71,111.2,7.0着,7.9人気,30.9,150,285,0,0.0%,12.5%,0.0%,115.81,12.87,55.95
124,サクラバクシンオー,  1-  1-  0- 10/ 12,8.3%,16.7%,16.7%,72,40,157.0,7.4着,7.6人気,58.7,870,240,0,0.0%,8.3%,0.0%,114.52,12.72,56.59
125,ロンバード,  1-  1-  0-  9/ 11,9.1%,18.2%,18.2%,85,43,82.0,7.0着,7.5人気,25.3,940,240,0,0.0%,9.1%,0.0%,113.00,12.56,57.35
126,ノーリユート,  1-  1-  0-  7/  9,11.1%,22.2%,22.2%,51,36,189.7,7.1着,7.2人気,63.6,460,165,0,0.0%,11.1%,0.0%,116.08,12.90,55.82
127,パークリージエント,  1-  1-  0-  6/  8,12.5%,25.0%,25.0%,225,73,153.6,6.1着,6.3人気,29.2,1800,295,0,0.0%,12.5%,0.0%,114.79,12.75,56.45
128,フレンチグローリー,  1-  1-  0-  1/  3,33.3%,66.7%,66.7%,116,646,318.2,2.3着,8.7人気,52.6,350,970,0,0.0%,33.3%,0.0%,114.40,12.71,56.64
129,アッミラーレ,  1-  1-  0-  1/  3,33.3%,66.7%,66.7%,216,126,135.2,2.3着,2.3人気,4.5,650,190,0,0.0%,33.3%,0.0%,112.63,12.51,57.53
130,ヴィクトワールピサ,  1-  1-  0- 11/ 13,7.7%,15.4%,15.4%,35,27,141.0,8.5着,8.7人気,65.6,460,180,0,0.0%,7.7%,0.0%,116.33,12.93,55.70
131,パーフライト,  1-  1-  0-  5/  7,14.3%,28.6%,28.6%,25,72,92.8,6.3着,4.9人気,17.8,180,255,0,0.0%,14.3%,0.0%,116.81,12.98,55.47
132,ビゼンニシキ,  1-  1-  0-  4/  6,16.7%,33.3%,33.3%,103,71,310.1,5.8着,9.3人気,40.7,620,215,0,0.0%,16.7%,0.0%,115.75,12.86,55.98
133,"Unbridled's Song",  1-  1-  0-  4/  6,16.7%,33.3%,33.3%,41,55,144.5,5.5着,7.5人気,68.7,250,165,0,0.0%,16.7%,0.0%,114.47,12.72,56.61
134,アサクサデンエン,  1-  1-  0-  3/  5,20.0%,40.0%,40.0%,162,104,193.4,6.0着,7.6人気,162.1,810,260,0,0.0%,20.0%,0.0%,114.16,12.68,56.76
135,ハードツービート,  1-  1-  0-  7/  9,11.1%,22.2%,22.2%,236,71,251.3,8.6着,8.1人気,51.7,2130,320,0,0.0%,11.1%,0.0%,115.52,12.84,56.09
136,フイリツプオブスペイン,  1-  1-  0-  6/  8,12.5%,25.0%,25.0%,528,101,147.7,10.3着,7.6人気,24.5,4230,405,0,0.0%,12.5%,0.0%,114.35,12.71,56.67
137,ジヨンテイオンブル,  1-  1-  0-  5/  7,14.3%,28.6%,28.6%,70,47,146.1,8.0着,6.9人気,31.1,490,165,0,0.0%,14.3%,0.0%,114.60,12.73,56.54
138,タップダンスシチー,  1-  1-  0-  4/  6,16.7%,33.3%,33.3%,413,170,600.8,5.7着,10.3人気,71.2,2480,510,0,0.0%,16.7%,0.0%,114.07,12.67,56.81
139,アドマイヤジャパン,  1-  1-  0-  4/  6,16.7%,33.3%,33.3%,78,65,262.5,7.3着,8.0人気,87.1,470,195,0,0.0%,16.7%,0.0%,113.60,12.62,57.04
140,パーソナリテイ,  1-  1-  0-  3/  5,20.0%,40.0%,40.0%,992,246,606.4,6.2着,9.2人気,42.2,4960,615,0,0.0%,20.0%,0.0%,114.88,12.76,56.41
141,ニツポーテイオー,  1-  1-  0-  3/  5,20.0%,40.0%,40.0%,190,92,322.2,6.8着,5.8人気,21.2,950,230,0,0.0%,20.0%,0.0%,116.84,12.98,55.46
142,オルフェーヴル,  1-  1-  0-  3/  5,20.0%,40.0%,40.0%,22,86,89.8,6.0着,5.4人気,27.6,110,215,0,0.0%,20.0%,0.0%,116.30,12.92,55.72
